"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: fileName","Param: j"
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,263859","0,100776","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,774015","0,718747","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"17,711127","11,397619","ms/op",4096,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"201,817945","28,599419","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"4142,788540","711,746729","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"39115,805820","2335,968806","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,211557","0,018807","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,785990","0,752206","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"16,833492","7,735886","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,278413","0,181577","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"2,041365","0,117592","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"19,174872","0,357441","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"41,738404","4,408643","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"830,087108","27,535608","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"8085,510150","546,153078","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,241055","0,171335","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,720426","0,599408","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,100
